Question ID,Category,Question,Answer
1,Combinatorics,"Show that there exists a subset of X with at least ⎿√n⏌ elements which does not contain any of the Ai’s.","Call the elements of X b1, b2, …, bn. Let S be the largest subset of X not containing any of the Ai’s. Let |S| = k. We want to show that k ≥ ⎿√n⏌. Now comes the crucial observation. For any element x in X but not in S, there exists a pair of elements {y, z} in S such that {x, y, z} = Ai for some i. Otherwise, we could add x to S, and the new set would still not contain any set Ai, contradicting our assumption that S is the largest set satisfying this property. Thus, we can construct a mapping from elements in X \ S to pairs of elements in S such that the element in X \ S together with the pair of elements it is mapped to forms one of the sets Ai. Moreover, it cannot happen that two distinct elements in X \ S are mapped to the same pair of elements. If this happened, say x1 and x2 were both mapped to {y, z}, then {x1, y, z} = Ai and {x2, y, z} = Aj for some i and j, and then |Ai ∩ Aj|= 2. This violates condition 2 of the problem. Thus, the mapping we have constructed is injective. This implies that the number of elements in X \ S cannot exceed the number of pairs of elements in S. Hence, we get (n – k) ≤ (k choose 2). This simplifies to k^2 + k ≤ 2n, and from this, the result easily follows (remember that k is an integer). Therefore, k ≥ ⎿√n⏌."
2,Combinatorics,"Show that it is possible to partition the vertex set V of a graph G on n vertices into two sets V1 and V2 such that any vertex in V1 has at least as many neighbors in V2 as in V1, and any vertex in V2 has at least as many neighbors in V1 as in V2.","What properties would such a partition have? Intuitively, such a partition would have lots of ‘crossing edges’, that is, edges joining a vertex in V1 to a vertex in V2. This suggests the following idea: Take the partition maximizing the number of crossing edges. We claim that such a partition satisfies the problem conditions. This can be related to the Max-Cut problem in combinatorial optimization, which aims to partition the vertices of a graph to maximize the number of edges between the two sets. Such a partition inherently ensures that each vertex in one set has at least as many neighbors in the other set as in its own set."
3,Combinatorics,"Can you cover all the black squares with non-overlapping L-trominoes? When it is possible, what is the minimum number of L-trominoes needed?","Let n = 2k+1. Consider the black squares at an odd height (that is, in rows 1, 3, 5, …, n). The key observation is that each L-tromino can cover at most one of these squares. There are (k+1)^2 such squares, so at least (k+1)^2 L-trominoes are needed. These L-trominoes cover a total of 3(k+1)^2 squares. For n = 1, 3 or 5, this exceeds n^2, so we require n ≥ 7 and at least (k+1)^2 L-trominoes. To construct tilings, induct with step 2. The base case 7 is left to the reader (do it systematically: start with the corners and then keep covering black squares of odd height). For example, on a 7x7 board, you can start by placing L-trominoes in the corners and then progressively cover the remaining black squares. Given a 2k+1 × 2k+1 board, divide it into the top left (2k-1) × (2k-1) board along with a border of thickness 2. The (2k-1) × (2k-1) board can be tiled with k^2 tiles by induction. Now tile the border with 2k+1 squares (this is left to the reader again). This shows that (k+1)^2 L-trominoes are sufficient, so the answer is n ≥ 7 and (k+1)^2 L-trominoes are necessary and sufficient."
4,Combinatorics,"There are n boxes B1, B2, …, Bn in a row. N balls are distributed amongst them (not necessarily equally). If there is at least one ball in B1, we can move one ball from B1 to B2. If there is at least one ball in Bn, we can move one ball from Bn to Bn-1. For 2 ≤ k ≤ (n -1), if there are at least two balls in Bk, we can remove two balls from Bk and place one in Bk+1 and one in Bk-1. Show that whatever the initial distribution of balls, we can make each box have exactly one ball.","We use induction and monovariants. The base cases n =1 and 2 are trivial. Suppose we have an algorithm An-1 for n-1 boxes; we construct an algorithm An for n boxes. We use two steps. The first step aims to get a ball into Bn and the second uses the induction hypothesis. Step 1: If Bn contains at least one ball, move to step two. Otherwise, all n balls lie in the first (n-1) boxes. Assign a weight 2^k to box Bk. Now keep moving balls from the boxes B1, B2, …, Bn-1 as long as possible. This cannot go on indefinitely as the total weight of the balls is a positive integer and strictly increases in each move but is bounded above by n2^n. Thus, at some point, this operation must stop, ensuring that we can get a ball into Bn. Step 2: Apply the induction hypothesis to the first (n-1) boxes. If any of the first (n-1) boxes has more than one ball, move extra balls to Bn. Eventually, we can ensure that each box has exactly one ball."
5,Combinatorics,"Let A1, A2, …, A6 be subsets of S = {1, 2, …, 8}. Suppose each set Ai has 4 elements and each element in S is in m of the Ai’s. Find m.","We draw an incidence matrix with six rows, representing the subsets A1, A2, …, A6, and eight columns representing the elements of S. The entry in the ith row and jth column is 1 if and only if the element j belongs to Ai. Otherwise, the entry is 0. Since |Ai| = 4, each row contains four 1s. There are 6 rows, so the total number of 1s in our matrix is 6×4 = 24. Now each element of S is in m of the Ai’s. Thus, each column of our matrix contains m 1s. So the total number of 1s in the matrix is 8m since there are 8 columns. Thus, 24 = 8m, so m = 3."
1,math,"How many straight lines can be formed by 8 points of which 3 are collinear?"
2,math,"How many triangles can be formed by 8 points of which 3 are collinear?"
3,math,"How many committees of 5 students can be selected from a class of 25?"
4,math,"How many 10-letter patterns can be formed from the letters of the word “BASKETBALL”?"
5,math,"A box contains 12 black and 8 green marbles. How many ways can 3 black and 2 green marbles be chosen?"
6,math,"a) How many different ways can the students be assigned seats at the table? b) How many ways can a president and a vice-president be elected from the 8 students?"
7,math,"A Club consists of 20 members, of which 9 are male and 11 are female. Seven members will be selected to form an event-planning committee. How many committees of 4 females and 3 males can be formed?"
8,math,"How many 7-digit telephone numbers can be formed if the first digit cannot be 0 or 1?"
9,math,"Six people are seated at a round table to play a game of cards. a) Is the seating arrangement around the table a linear or circular permutation? b) How many possible seating arrangements are there?"
10,math,"How many different 5-digit street addresses can have the digits 4, 7, 3, 4, and 8?"
11,math,"Three hardcover books and 5 paperbacks are placed on a shelf. How many ways can the books be arranged if all the hardcover books must be together and all the paperbacks must be together?"
12,math,"Let \( A \) and \( B \) be two finite sets, with \( |A| = m \) and \( |B \) = n. How many distinct functions (mappings) can you define from set \( A \) to set \( B \)?"
13,math,"A function is said to be one-to-one if for all \( x_1, x_2 \in A \), we have \( f(x_1) \ne f(x_2) \). Let \( A \) and \( B \) be two finite sets, with \( |A| = m \) and \( |B| \) = n. How many distinct one-to-one functions (mappings) can you define from set \( A \) to set \( B \)?"
14,math,"An urn contains 30 red balls and 70 green balls. What is the probability of getting exactly \( k \) red balls in a sample of size 20 if the sampling is done with replacement? Assume \( 0 \le k \le 20 \)."
15,math,"An urn consists of 30 red balls and 70 green balls. What is the probability of getting exactly \( k \) red balls in a sample of size 20 if the sampling is done without replacement?"
16,math,"Assume that there are 100 people in a room and we know that: 25% with probability 1/4, 50% with probability 1/4, and 75% with probability 1/2. a) What is the probability that at least two of them have been born in the same month? Assume that all months are equally likely. b) Given that we already know there are at least two people that celebrate their birthday in the same month, what is the probability that 10% of the people share the same birth month?"
17,math,"How many distinct solutions does the following equation have? \( x_1 + x_2 + x_3 + x_4 = 100 \) such that \( x_1 \in \{1, 2, 3, \ldots\} \), \( x_2 \in \{2, 3, 4, \ldots\} \), \( x_3, x_4 \in \{0, 1, 2, \ldots\} \)."
18,math,"Guests arrive at a party. Each person is wearing a hat. We collect all hats and then randomly redistribute the hats, giving each person one of the \( N \) hats randomly. What is the probability that at least one person receives his/her own hat?"
19,coding,"Develop a C++ program that reads a text file line by line and counts the number of occurrences of a specific word in the file."
20,coding,"Implement a Python function to find the longest common subsequence of two input strings using dynamic programming."
21,coding,"Implement a regular expression in Python to validate an email address."
22,coding,"Write a program to find the nth Fibonacci number using dynamic programming."
23,coding,"Implement a binary search algorithm to find a specific element in a sorted array."
24,coding,"Implement a queue data structure using two stacks in Python."
25,coding,"Implement a program to find the common elements in two arrays without using any extra data structures."
26,math,"Given that f(x) = 5x^3 - 2x + 3, find the value of f(2)."
27,math,"Solve for x in the equation 3x + 10 = 5(x - 2)."
28,math,"If the endpoints of a line segment are (2, -2) and (10, 4), what is the length of the segment?"
